date,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Aggregate
2014-10-01,168.54,142.92,168.06,136.13,114.22,110.56,83.32,127.71,117.68,122.6,75.26,93.5,87.73,136.44,137.79,91.79,174.94,148.45,158.88,99.22,172.01,106.02,190.19,109.3
2015-01-01,171.79,142.5,170.7,137.03,115.75,114.05,82.96,127.25,117.06,123.7,75.39,92.36,87.9,137.29,142.46,92.5,176.04,152.65,163.22,100.24,175.28,107.14,194.1,110.18
2015-04-01,179.93,143.18,175.82,137.69,117.64,116.45,83.47,127.45,116.75,124.97,77.18,91.88,87.98,138.73,143.06,93.19,178.27,158.35,167.99,101.81,178.51,105.24,197.82,111.63
2015-07-01,184.43,143.83,178.49,138.18,118.91,116.63,83.82,127.57,116.87,127.47,79.38,92.04,88.1,140.73,141.4,94.44,180.57,165.63,172.69,103.34,180.3,105.28,200.57,112.97
2015-10-01,184.15,144.2,179.92,138.74,120.63,117.52,84.84,127.32,117.1,130.51,80.74,92.2,88.16,142.33,141.94,95.04,180.49,166.64,178.47,104.42,182.73,106.14,204.69,114.04
2016-01-01,184.5,144.81,185.01,139.12,123.02,119.17,84.89,127.22,117.4,133.53,81.08,92.75,88.41,142.88,146.83,96.26,183.38,172.35,180.34,105.39,186.22,107.78,208.7,115.27
2016-04-01,188.3,145.96,197.22,139.58,125.97,120.2,85.11,127.92,117.47,135,81.62,92.79,88.6,142.9,147.51,97.29,185.95,182.05,183.02,107.26,189.23,107.25,212.36,117.09
2016-07-01,191.98,147.3,204.05,140.18,128.4,121.61,85.19,128.27,118.37,136.04,85.36,92.41,88.74,143.6,152.36,99.76,190.55,188.97,187.25,109.15,190.19,108.39,216.97,118.75
2016-10-01,200.46,148.58,206.53,141.07,130.32,121.67,86.09,128.37,118.86,137.52,87.56,92.2,88.89,144.44,151.86,100.79,194.24,190.54,189.98,110.32,191.26,108.04,218.61,119.97
2017-01-01,205.73,150.01,216.33,142.04,131.92,123.32,86.82,129.23,120.22,139.45,88.57,92.08,89.19,144.69,154.57,102.76,197.03,192.97,194.93,111.3,194.98,108.61,219.55,121.43
2017-04-01,209.2,150.83,228.98,142.73,134.13,125.52,86.48,130.08,121.11,141.04,90.49,91.8,89.31,144.66,159.27,104.76,196.23,193.86,199.89,113.85,197.1,112.49,222.35,123.49
2017-07-01,209.88,152.1,220.71,143.45,136.37,126.71,87.47,130.12,122.3,142.42,95.34,91.25,89.43,145.72,160.25,107.26,196.09,196.14,202.42,115.75,198.08,113,225.03,124.52
2017-10-01,211.62,153.12,217.66,144.22,138.76,126.55,88.76,129.87,122.72,143.95,97.6,91.15,89.5,146.26,165.21,109.11,198.45,198.14,204.16,117.05,199.1,117.03,223.11,125.47
2018-01-01,210.34,154.2,219.38,144.6,140.65,129.29,89.15,129.91,123.87,145.32,99.36,91.63,89.77,147.01,163.61,112.04,197.79,200.22,203.42,118.8,201.3,118.23,220.31,126.71
2018-04-01,208.65,155.22,222.53,144.76,143.12,130.6,89.76,131.09,124.52,145.48,101.44,91.51,89.9,147.52,168.68,114.04,201.07,200.83,200.14,121.27,204.5,118.1,221.61,128.2
2018-07-01,205.82,156.12,220.17,145.03,145.59,130.83,90.31,130.94,125.88,146.47,103.74,90.75,90.04,148.74,175.93,117.17,201.41,202.04,199.36,123.04,205.91,121.5,220.92,129.26
2018-10-01,199.91,157.6,218.17,144.81,147.63,130.7,92.17,130.79,126.69,147.41,104.55,90.73,90.18,150.94,176.06,118.86,201.26,203.66,200.77,123.98,207.45,122.9,219.82,129.95
2019-01-01,194.14,159.43,217.6,144.87,149,132.22,93.07,130.75,127.52,147.47,103.67,91.44,90.43,150.94,187.61,120.89,203.15,203.83,202.43,125.36,208.41,126.63,222.12,130.76
2019-04-01,192.48,160.9,221.16,145.2,151.49,133.87,92.53,131.6,128.4,147.07,104.11,91.51,90.46,150.24,186.97,122.27,204.74,203.82,204,127.51,211.49,130.74,224.29,132.05
2019-07-01,197.85,162.45,222.37,145.97,153.89,135.2,93.04,131.55,129.82,147.64,105.5,90.97,90.47,150.4,188.87,124.52,206.37,207.52,206.27,128.96,213.5,131.27,225.25,133.26
2019-10-01,205.48,164.01,224.08,146.49,156.37,135.09,93.89,131.74,131.49,149.25,105.75,91.05,90.52,150.99,190.78,126.21,206.61,211.42,208.61,130.26,214.86,131.27,227.03,134.59
